,County_FIPS,X,bc,Region,ORIG_FID_1,carbonprice,biomassprice,climate_benefit_cumulative,climate_benefit_per_year,sgarea,Negative_emissions_cumulative,Negative_emissions_per_year,year,biomassproduction,zerocb,costpertonne
91,1039,2366,30 50,Southeast,16,30,50,6049.517084,449.8736464,235.8032871,2112.899201,157.1262061,2050,55297.59825,6091.011062,0
92,1039,2392,0 67,Southeast,16,0,67,6091.011062,453.96947,237.9501314,2127.391696,158.5567439,2050,55676.88759,6091.011062,0
93,1039,2418,40 67,Southeast,16,40,67,6121.323247,456.7337646,239.3990488,2137.978755,159.5222219,2050,55953.96608,6091.011062,0.567118544
94,1039,2444,50 83,Southeast,16,50,83,6239.464016,467.9830423,245.2954081,2179.241476,163.451228,2050,57033.87059,6091.011062,3.4060694
95,1041,2470,60 100,Southeast,16,60,100,2563.518797,178.241635,95.38673482,920.7775282,64.02172367,2050,22373.15712,2503.793684,3.891826939
96,1041,2496,70 116,Southeast,16,70,116,2587.616658,179.8967116,96.27245578,929.4331185,64.61620238,2050,22583.47164,2503.793684,6.313104233
97,1041,2522,80 133,Southeast,16,80,133,2611.400681,182.0110484,97.40395176,937.9759833,65.3756405,2050,22791.04714,2503.793684,9.177804055
98,1041,2548,90 150,Southeast,16,90,150,2633.605745,183.5806562,98.24393371,945.9517092,65.93942007,2050,22984.84224,2503.793684,12.35061508
99,1041,2574,100 166,Southeast,16,100,166,2660.408127,185.4751779,99.2577947,955.5787231,66.61990387,2050,23218.76052,2503.793684,16.38948616
100,1041,2600,0 67,Southeast,16,0,67,2503.793684,173.9825222,93.10745333,899.3251628,62.49191421,2050,21851.90511,2503.793684,0
101,1041,2626,40 67,Southeast,16,40,67,2510.455673,174.4965486,93.38253667,901.7180494,62.6765448,2050,21910.04774,2503.793684,0.295524259
102,1041,2652,50 83,Southeast,16,50,83,2536.401602,176.4304452,94.41746925,911.0374383,63.37117145,2050,22136.49131,2503.793684,1.789603642
103,1043,2678,60 100,Appalachia,2,60,100,2985.38779,209.711587,122.6664052,1206.287289,84.73687155,2050,31243.1905,2934.872762,2.512586929
104,1043,2704,70 116,Appalachia,2,70,116,3004.701118,211.0315694,123.4385013,1214.091106,85.27022874,2050,31445.31164,2934.872762,4.026044574
105,1043,2730,80 133,Appalachia,2,80,133,3023.207603,212.8489921,124.5015646,1221.568908,86.00458353,2050,31638.98888,2934.872762,5.78500915
106,1043,2756,90 150,Appalachia,2,90,150,3040.123055,214.0391328,125.1977125,1228.403831,86.48547637,2050,31816.01535,2934.872762,7.711247846
107,1043,2782,100 166,Appalachia,2,100,166,3062.808022,215.6224945,126.1238669,1237.570006,87.12525562,2050,32053.42195,2934.872762,10.33761805
108,1043,2808,30 50,Appalachia,2,30,50,2926.652686,205.4135304,120.1523469,1182.554556,83.00018227,2050,30628.50585,2934.872762,0
109,1043,2834,0 67,Appalachia,2,0,67,2934.872762,206.0919245,120.5491593,1185.875992,83.2742968,2050,30714.532,2934.872762,0
